,Unnamed: 0,label,area,bbox_area,centroid-0,centroid-1,convex_area,eccentricity,equivalent_diameter,extent,local_centroid-0,local_centroid-1,major_axis_length,minor_axis_length,perimeter,solidity,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,in_object
6,8,9,48008,62160,936,1705,48316,0.6761906167657374,247.2360897273003,0.7723294723294724,141,109,288.19077945600236,212.3178456949035,835.8792924010781,0.9936253001076248,5190.870335216139,2817.4292250328035,0.16681177220981802,0.002444160343723117,1.2419043226534364e-05,2.4149044687521427e-07,-1.6807654648024883e-13,-5.6600386483374205e-09,3.829484919727984e-13,1.0
7,9,10,40593,53800,1057,1171,41375,0.7546110991583102,227.34250117264583,0.7545167286245353,132,97,281.4209842331756,184.66065486563102,782.7665940288703,0.9810996978851964,4949.86064792308,2131.222340962732,0.17444098708855746,0.004821435956594232,5.760528400080199e-06,3.7571605882269115e-07,-5.489388605646481e-13,-2.6050139298473608e-08,-6.471089358519764e-14,1.0
8,10,11,44390,56419,1090,654,44669,0.5276099552713633,237.7374673685111,0.7867916836526702,110,126,258.02291359652804,219.18704579137238,796.1808075912431,0.9937540576238556,4160.988996302584,3002.685065171822,0.16138035732089218,0.0006808865737672584,2.8551455500783503e-07,2.063951363682063e-09,3.311967707496901e-17,4.458366014828154e-11,-3.7595116606796495e-17,1.0
9,11,12,25969,37887,1255,834,26373,0.7896054019858118,181.83717369456508,0.6854329981260063,103,81,233.70788883723824,143.40665495981608,638.4823227814082,0.9846813028476094,3413.711081547432,1285.3417929227346,0.1809485492113738,0.006717126303555858,0.0002077017690179653,1.6923935578847888e-05,9.334023893988157e-10,1.2738089873562043e-06,-3.6818810573788516e-10,1.0
10,12,13,42506,54531,1364,1597,42873,0.4487831881825235,232.637744333358,0.7794832297225431,110,122,246.232164989437,220.04307729991726,777.8376618407357,0.9914398339281132,3789.3924422115824,3026.1847417260838,0.16034388519121226,0.0003223925604254189,4.749135846847533e-06,1.8267411100201532e-08,-8.309395159661846e-16,-1.837368993213252e-10,5.31595162442555e-15,1.0
11,13,14,28908,38720,1487,69,29099,0.7918208922300227,191.8510066671637,0.7465909090909091,110,69,249.5527850588402,152.41520358126004,683.0853531617382,0.9934362005567202,3892.2870331639806,1451.8996426698093,0.18486877943246816,0.007126584723369503,0.0006186002211726661,7.379917044889338e-05,1.5555544364384026e-08,6.161117201363162e-06,2.580954530263876e-09,1.0
12,14,15,35070,49693,1660,545,35363,0.7341372995715485,211.31140724973218,0.7057332018594168,108,116,256.9603996419163,174.47638106626073,725.636651713959,0.9917145038599666,4126.790436508333,1902.6254718736889,0.17192517560256693,0.004022188861844706,6.146963517310944e-05,2.0817045658464195e-06,1.1112920302441605e-11,4.7296294676139785e-08,-2.0761115164109217e-11,1.0
13,15,16,34401,42704,1858,1590,34728,0.8309899225937585,209.28620016244344,0.8055685650056201,134,78,281.24672101206886,156.4540266927144,738.7422074112308,0.9905839668279198,4943.7323800025315,1529.8664042727871,0.1881805408062358,0.009848062587624306,3.793884545794371e-05,2.495147773634102e-06,-3.3164274723748466e-12,-7.760932319610953e-08,-2.4048925475891298e-11,1.0
14,16,17,33937,41472,1921,86,34238,0.5856696888899696,207.86998443661176,0.8183111496913579,109,86,232.7416551871625,188.64870740953108,714.9371208835976,0.9912085986330976,3385.5423787037544,2224.2709254554293,0.16530080160766075,0.001170902150199218,0.00016114932708578318,3.908185016894823e-06,7.778617339703469e-11,1.3030999369469464e-07,-5.973977727861179e-11,1.0
15,17,18,59712,71827,1948,535,60157,0.7354016910187167,275.7311728753679,0.8313308365934816,121,166,341.95629151891825,231.72033029539008,992.156420973604,0.9926026896288046,7308.381581835712,3355.8944670127917,0.17859519106458505,0.004381448286324985,0.0006287142687440452,2.6919751534475105e-05,-3.386978500406546e-09,-1.7481244671637962e-06,-8.906995731608651e-10,1.0
