,label,area,centroid-0,centroid-1,day,dapi_integrated,cebp_integrated,ppar_integrated
2,3,37339,459,1643,0.083,129727203,123886756,64650154
3,4,41346,551,573,0.083,137035592,244929303,112954088
4,5,32661,637,91,0.083,107636257,162579711,65608200
5,6,37899,822,1169,0.083,137847667,186438172,81401392
6,7,42501,1007,1887,0.083,141934813,212968775,85158733
7,8,39999,1065,777,0.083,162916163,210927816,85900848
8,9,34207,1239,1847,0.083,135588408,163344140,67407358
9,10,40325,1318,1318,0.083,166192585,203344206,99482571
10,11,36704,1370,412,0.083,133111931,161327387,75040417
11,12,40754,1487,858,0.083,142775435,144444300,80623182
12,13,41621,1488,1162,0.083,162813611,198776938,91588652
13,14,39827,1528,630,0.083,144305222,158213744,90894436
14,15,33586,1538,1921,0.083,138139172,214886284,80104987
15,16,32695,1735,1587,0.083,108150969,96183390,66738185
16,17,29639,1965,697,0.083,103294891,117182403,56305185
0,1,43819,150,451,0.083,173054575,173796276,85372025
1,2,36633,173,192,0.083,160681197,141092144,62868943
2,3,34950,227,1004,0.083,157221132,168071388,53545874
3,4,41188,312,1564,0.083,170945601,267005888,93928254
4,5,46717,516,451,0.083,182923602,233341306,83543907
5,6,36444,632,1121,0.083,158406242,223155084,65625650
6,7,45777,765,591,0.083,168603685,239366230,83405761
7,8,83320,961,1909,0.083,434432173,351358450,150026072
8,9,42101,1027,1079,0.083,176953341,167830621,83418245
9,10,44248,1245,1408,0.083,164207334,256505859,76719826
10,11,37718,1240,1919,0.083,155176204,162914110,63313753
11,12,41878,1327,294,0.083,166987494,185194264,74343158
12,13,36715,1408,89,0.083,160566127,129969428,52034180
13,14,39100,1591,250,0.083,156876424,183689546,62496879
14,15,79958,1892,1907,0.083,279045604,415741102,159214371
0,1,44968,434,574,0.083,160740214,197397385,63325564
1,2,40842,443,1376,0.083,142413420,188332554,65778836
2,3,43851,705,159,0.083,174077406,226805489,90709508
3,4,38448,898,1728,0.083,137653654,179541806,74191652
4,5,44447,954,239,0.083,167561712,183932280,80168032
5,6,42248,1124,679,0.083,164880721,197142179,71799161
6,7,50317,1396,1657,0.083,161277852,235629514,89382198
7,8,41952,1428,793,0.083,178342336,189689907,70599904
8,9,42003,1602,613,0.083,176375665,190007391,68710252
9,10,79844,1886,1542,0.083,373374747,833722422,193894984
10,11,53283,1884,200,0.083,172445673,174928568,75977817
0,1,89010,175,772,0.083,363432577,428038884,152669972
1,2,39659,244,118,0.083,152044410,188935877,59551346
2,3,58274,549,1475,0.083,264867522,397813117,91921260
3,4,40267,677,763,0.083,193379120,162725967,68410654
4,5,91612,824,476,0.083,392087433,517991118,169347058
5,6,42594,801,1575,0.083,180606352,198107803,68588749
6,7,35560,975,809,0.083,182374333,241708044,71123740
7,8,62443,1167,117,0.083,321182101,334060636,101750837
8,9,39555,1277,1054,0.083,179933153,175610624,57741260
9,10,72754,1732,130,0.083,345310578,347328624,128918591
10,11,37320,1667,1606,0.083,157445693,234171805,70258020
11,12,75908,1818,732,0.083,385464127,462005542,138573619
12,13,28496,1821,1327,0.083,173103204,194435055,52839040
0,1,35305,86,450,0.083,106298911,123931920,62916361
1,2,38882,109,1957,0.083,104766015,156470718,74779682
2,3,37195,636,353,0.083,134225919,147441717,59832173
3,4,41047,809,1070,0.083,133467500,251247236,80424467
4,5,42307,1046,389,0.083,138430806,183961584,64658355
5,6,36114,1333,84,0.083,144131918,181954010,59507025
6,7,52055,1680,718,0.083,181862842,163987722,86650751
7,8,68093,1930,486,0.083,312285383,331441091,109255821
0,1,34817,262,1546,0.083,114912559,174317102,108059426
1,2,70713,457,991,0.083,320251137,389990111,137492025
2,3,61469,484,195,0.083,287032118,426122174,117951037
3,4,92967,1096,1839,0.083,432797116,580394506,192171801
4,5,42593,1389,792,0.083,135816895,228129447,90763966
5,6,35045,1964,1026,0.083,135385503,151857459,71411620
0,1,82440,191,657,0.083,412896534,597329222,184236023
1,2,96826,277,168,0.083,372253601,481046608,173714511
2,3,47870,350,1744,0.083,148433877,227713443,95174640
3,4,47008,380,1110,0.083,181334706,237689516,99672380
4,5,40586,638,1090,0.083,185309197,267656621,83070999
5,6,27247,764,73,0.083,115738962,134762873,52391769
6,7,60028,935,1445,0.083,336791872,475369968,162361993
7,8,32860,992,1770,0.083,121904424,208441945,77552478
8,9,51116,1114,1233,0.083,298695740,369788997,110910538
